year,month,day,final_six_figure_odds,one_move_1_num,one_move_2_num,one_move_3_num,one_move_4_num,one_move_5_num,one_move_6_num,one_move_7_num,two_move_1_num,two_move_2_num,two_move_3_num,two_move_4_num,two_move_5_num,two_move_6_num,two_move_7_num
2017,15,11,485138,9,18,12,43,1,27,41,27,29,46,8,39,12,16
2017,20,12,244792,48,43,16,8,25,41,18,11,12,48,7,33,19,6
2017,24,12,446269,42,24,20,38,9,13,17,13,33,44,1,32,46,31
2017,22,12,895644,34,41,44,17,25,31,9,1,41,9,4,7,5,49
2017,17,12,512145,32,48,31,16,22,40,12,34,45,20,4,17,2,22
2017,27,12,211587,34,6,44,17,31,33,46,19,20,26,30,17,7,41
2017,29,12,454266,29,34,40,25,2,48,39,24,10,20,3,38,21,14
2018,3,1,127507,42,41,13,35,46,12,31,5,19,22,8,45,2,46
2018,14,1,677762,37,4,18,13,32,47,20,22,19,7,41,3,12,15
2017,31,12,600667,42,30,22,4,29,23,3,38,1,47,31,39,12,7
2018,7,1,74554,11,14,3,26,45,10,40,33,14,36,35,12,19,48
2018,12,1,314415,47,28,31,6,49,30,42,49,19,39,37,25,36,43
2018,21,1,549956,30,12,10,11,42,21,31,7,37,14,31,47,29,9
2018,31,1,46613,9,38,16,8,42,28,40,9,29,15,37,42,4,35
2018,28,1,888631,34,6,13,11,27,23,18,15,16,4,7,2,48,35
2018,10,1,47410,35,36,29,18,19,28,47,22,26,19,35,24,11,38
2018,17,1,525995,2,35,25,48,40,13,41,49,14,45,27,26,15,20
2018,4,2,138650,8,34,41,9,30,7,42,39,6,42,34,45,8,29
2018,2,2,202538,25,39,20,28,9,3,33,30,42,6,2,13,48,26
2018,24,1,980709,34,2,40,5,24,3,15,23,10,49,35,39,29,17
2018,7,2,796250,20,42,4,21,10,3,5,38,10,13,11,3,26,40
2018,16,2,477541,42,3,24,44,33,6,45,7,31,27,47,22,32,6
2018,28,2,576379,43,34,38,46,19,9,32,25,2,24,30,36,48,45
2018,18,2,991806,29,44,20,13,24,25,47,29,7,33,25,13,24,19
2018,4,3,164086,23,37,21,33,27,49,24,29,32,41,8,45,23,17
2018,11,2,615764,48,13,14,1,39,47,37,3,28,34,46,35,32,27
2018,14,2,350510,39,29,20,13,45,7,24,28,44,21,9,7,26,48
2018,24,10,452274,22,32,42,11,25,23,43,33,5,7,31,1,42,35
2018,28,10,452274,5,43,20,7,12,26,44,33,10,26,8,49,40,4
2018,25,2,901436,38,14,49,35,24,33,3,18,20,39,16,13,29,35
2018,21,2,728430,17,29,36,23,4,10,43,47,38,15,44,24,40,49
2018,4,11,616658,18,11,5,30,27,15,32,35,7,21,12,30,9,8
2018,7,11,955245,10,45,3,39,14,25,35,40,26,14,49,15,30,47
2018,9,11,955245,33,32,3,9,8,28,10,32,27,44,33,25,9,45
2018,23,11,246104,40,6,2,46,38,48,12,30,29,44,20,23,1,10
2018,25,11,246104,16,10,33,39,11,20,48,28,30,20,7,13,17,39
2018,11,11,955245,17,6,43,28,11,9,12,25,20,8,11,26,47,49
2018,21,11,246104,37,18,16,23,10,30,1,38,35,26,47,37,43,14
2018,18,11,416449,49,45,39,31,8,15,22,17,23,22,47,38,28,25
2018,14,11,416449,7,6,44,17,33,16,25,23,33,48,41,17,7,37
2018,12,12,101943,16,33,43,49,38,46,3,38,23,30,5,37,32,14
2018,7,12,925885,5,8,41,27,18,30,49,42,41,24,11,44,13,33
2018,28,11,342685,10,47,30,45,16,26,43,22,25,46,28,17,1,33
2018,2,12,342685,11,47,29,46,25,3,4,41,38,32,23,1,14,45
2018,5,12,925885,19,45,39,30,13,47,49,10,33,39,3,35,45,49
2018,9,12,925885,4,44,32,39,27,26,22,11,45,13,17,28,37,4
2018,19,12,486414,3,48,39,45,18,6,7,14,18,29,12,5,3,47
2018,26,12,795523,24,37,39,12,6,15,36,30,36,29,31,15,43,12
2018,21,12,486414,6,42,41,33,17,10,8,1,7,21,33,30,44,16
2019,2,1,285981,13,18,46,34,28,40,43,44,19,31,17,42,35,5
2018,16,12,101943,1,21,48,12,30,17,38,39,1,23,12,48,25,33
2018,23,12,486414,48,18,30,26,33,22,13,45,14,2,19,25,47,1
2018,30,12,795523,27,7,44,17,24,16,21,31,13,33,34,43,9,30
2019,6,1,285981,11,20,18,2,22,35,34,10,14,13,34,46,37,30
2019,13,1,972877,38,10,25,8,23,2,7,39,7,38,40,19,5,17
2019,16,1,263448,33,44,35,8,3,7,1,38,12,6,17,4,30,42
2019,20,1,21822,15,16,10,29,24,12,20,17,34,24,37,8,49,26
2019,23,1,940896,43,44,8,48,49,22,11,43,1,7,48,37,2,20
2019,11,1,972877,20,41,22,4,45,9,24,12,20,47,35,42,21,28
2019,30,1,927408,13,28,37,24,45,38,49,10,18,8,41,7,29,35
2019,25,1,174352,14,44,26,48,16,19,45,35,41,11,30,42,40,17
2019,9,1,972877,35,37,15,19,38,42,40,49,47,3,17,39,4,15
2019,27,1,135549,24,45,38,5,43,18,14,45,12,16,1,27,26,40
2018,31,10,616658,34,25,35,32,29,38,30,38,16,25,19,15,8,17
2019,3,2,446561,4,24,47,22,38,3,46,21,26,36,13,14,31,19
2019,8,2,136,14,35,23,20,2,17,43,9,26,44,45,10,17,3
2019,10,2,823559,4,25,47,16,31,11,42,21,1,34,25,3,32,4
2019,6,2,639615,2,7,42,35,22,17,30,32,5,4,26,44,3,33
2019,17,2,142405,41,35,47,27,15,44,40,5,33,41,34,38,19,15
2019,24,2,891644,36,9,2,46,8,28,43,20,8,30,23,26,15,49
2019,3,3,206421,6,12,19,13,3,39,31,12,26,24,6,17,5,10
2019,6,3,43705,14,24,9,42,37,4,7,44,40,30,11,36,34,35
2019,8,3,43182,27,28,29,44,32,7,11,17,48,8,29,12,24,31
2019,10,3,596270,16,46,47,35,48,26,12,28,25,49,23,34,9,7
2019,13,3,744414,34,46,14,20,1,36,25,9,16,22,7,6,13,11
2019,17,3,820024,5,6,14,43,8,45,26,12,32,37,30,42,48,13
2019,20,3,124423,6,13,22,33,26,1,45,18,37,48,20,12,6,21
2019,3,4,766805,45,22,15,20,1,3,29,33,31,10,42,12,17,15
2019,20,2,609807,49,5,44,29,37,18,35,44,30,4,39,14,46,25
2019,13,2,456755,20,11,6,1,2,34,48,3,44,23,37,36,2,11
2019,24,3,932147,39,24,25,14,28,12,41,47,21,4,41,24,46,32
2019,27,2,456152,16,24,46,43,41,1,34,43,11,44,30,16,23,46
2019,27,3,362730,35,43,33,47,14,38,22,20,42,22,39,31,34,30
2019,31,3,202471,5,12,2,8,26,30,11,15,17,28,46,42,36,47
2019,17,4,919107,47,15,27,29,21,36,41,33,37,28,4,45,26,30
2019,7,4,870275,16,43,29,19,38,27,18,24,17,26,8,3,37,6
2019,10,4,463965,5,26,13,35,41,9,7,4,36,35,44,34,24,31
2019,12,4,958132,6,46,33,44,38,42,40,21,31,18,34,44,41,35
2019,14,4,262714,9,41,39,37,27,30,46,22,45,35,27,33,15,39
2019,19,4,672136,12,8,11,44,19,23,7,46,44,31,21,11,49,8
